igra_id,izdajatelj_id
1,1
2,2
5,3
6,4
7,5
7,6
8,7
9,7
10,8
11,9
11,6
12,10
13,7
13,11
14,12
15,13
16,14
17,7
18,15
19,16
20,17
21,18
22,19
23,20
24,21
25,22
26,23
27,24
28,25
29,26
29,27
29,28
29,29
30,30
31,31
32,32
33,33
33,34
34,35
35,36
36,37
37,38
39,39
39,40
40,41
41,42
41,43
42,44
43,45
44,46
45,47
46,48
47,49
48,50
49,51
52,52
53,9
54,53
55,54
56,55
57,56
58,37
59,57
59,58
60,26
60,59
60,60
61,61
61,62
62,63
63,64
64,65
65,66
66,67
66,68
67,69
68,35
68,70
69,71
70,9
70,72
71,7
72,73
73,8
74,74
75,75
76,73
77,37
78,6
79,37
80,10
81,26
82,76
83,26
84,13
85,77
86,78
87,79
88,80
89,81
90,2
91,82
92,12
92,83
93,84
94,85
96,84
97,86
98,82
99,82
100,27
101,37
102,2
103,87
103,88
104,89
105,90
106,91
107,12
108,92
109,93
110,94
111,73
112,95
113,73
114,35
114,96
115,97
115,98
115,99
116,100
117,82
118,26
119,101
120,37
121,37
122,9
123,102
124,103
124,104
125,105
125,106
126,9
126,6
127,107
129,108
130,84
131,89
132,109
133,73
134,82
134,110
135,111
136,112
137,113
138,82
139,114
139,115
140,12
140,116
141,9
142,117
143,118
144,119
146,38
147,13
147,70
148,3
149,37
150,73
151,35
152,120
153,37
154,121
155,12
156,89
157,122
158,123
159,124
159,125
160,8
161,126
162,127
163,121
164,73
165,10
166,84
167,128
168,129
169,8
169,130
170,6
170,65
171,12
172,131
173,132
175,73
177,133
178,89
182,134
183,135
184,136
185,137
186,138
187,139
188,140
190,73
191,141
192,142
193,143
194,144
195,145
196,146
197,147
198,148
