igra_id,zanr_id
1,1
1,2
2,3
2,1
3,4
3,5
3,2
4,3
4,6
4,2
4,7
5,3
7,3
7,8
8,1
9,6
9,1
10,3
10,9
11,6
11,1
12,10
13,1
14,3
14,11
14,1
15,3
15,1
16,1
17,3
17,11
18,5
20,3
20,9
22,6
22,2
23,3
23,2
24,3
24,9
25,3
25,4
25,5
26,4
26,5
27,8
28,8
28,2
29,12
30,8
31,6
31,12
32,3
32,6
32,2
33,3
33,6
33,12
33,2
34,3
34,6
35,3
36,3
36,13
37,6
37,2
38,8
39,3
39,6
39,1
39,14
39,2
40,3
40,6
40,2
41,5
41,2
42,6
42,15
44,6
45,8
45,15
46,6
46,7
47,3
47,6
47,5
47,2
48,12
49,9
50,3
51,3
52,3
53,1
53,8
54,3
55,6
55,1
55,2
55,15
56,6
56,1
56,2
57,3
57,2
58,9
60,3
60,9
62,8
62,2
63,1
63,8
64,8
65,13
65,4
66,12
67,6
67,1
68,3
68,11
68,6
69,6
69,1
70,13
71,3
71,1
72,3
72,6
73,3
73,1
74,15
75,12
76,3
76,1
76,7
77,3
77,11
78,3
78,7
79,1
80,3
81,13
81,4
82,8
83,3
83,6
84,3
84,6
84,1
85,3
85,6
85,8
86,3
86,1
88,1
89,3
89,6
89,1
89,2
90,6
90,1
91,8
92,11
92,15
93,3
94,12
95,5
96,3
96,6
97,3
97,7
98,8
99,8
100,8
101,3
101,1
102,3
102,11
103,6
103,5
103,2
104,1
105,6
105,15
106,6
106,1
107,3
107,11
107,6
107,1
108,13
108,4
109,12
111,3
112,3
112,13
113,6
114,3
115,1
116,8
117,3
117,1
118,4
119,8
120,1
121,6
122,11
122,7
123,6
123,12
123,5
124,6
124,1
124,2
125,3
125,6
125,1
125,5
126,1
126,8
127,6
127,2
128,7
129,12
129,2
130,13
130,4
131,3
131,1
132,12
132,10
132,13
132,2
133,3
133,1
133,7
134,8
135,12
135,5
135,2
136,12
136,10
137,3
137,1
138,8
139,4
139,5
139,15
140,3
140,12
141,3
141,4
141,16
142,5
143,6
143,12
143,5
144,3
144,11
144,2
145,6
146,6
147,3
148,3
148,7
149,6
149,1
149,15
150,3
150,7
151,3
151,6
152,7
153,3
153,7
154,8
155,11
157,3
157,6
157,2
157,7
158,3
158,2
159,1
159,2
160,3
160,1
161,3
162,1
163,8
164,6
164,12
165,3
165,6
166,3
167,7
168,13
169,1
170,1
171,3
171,6
172,3
172,6
172,15
172,7
173,3
173,6
173,1
174,6
175,3
175,6
175,1
176,5
177,3
177,6
177,12
177,5
177,2
178,8
179,5
180,5
181,1
182,6
182,1
182,2
183,1
184,3
184,7
185,3
185,6
185,5
185,2
186,5
187,1
188,6
189,1
190,6
191,16
191,17
192,5
192,2
193,2
194,8
194,12
194,10
194,5
194,2
196,1
197,6
197,2
198,1
198,5
199,12
200,13
