id,ime,drzava,leto_ustanovitve,spletna_stran
1,Mihiraghi,???,???,Ni podatka
2,Bethesda Softworks,???,???,Ni podatka
3,Taito,???,???,Ni podatka
4,Sunsoft,???,???,Ni podatka
5,505 Games,???,???,Ni podatka
6,Atlus,???,???,Ni podatka
7,CD PROJEKT RED,???,???,Ni podatka
8,Bandai Namco Entertainment,???,???,Ni podatka
9,SEGA,???,???,Ni podatka
10,Konami,???,???,Ni podatka
11,cdp.pl,???,???,Ni podatka
12,Electronic Arts,???,???,Ni podatka
13,Sony Interactive Entertainment,???,???,Ni podatka
14,Kepler Interactive,???,???,Ni podatka
15,Zetan,???,???,Ni podatka
16,mango-ki,???,???,Ni podatka
17,kyo-hei,???,???,Ni podatka
18,CoffeeRequired,???,???,Ni podatka
19,Nozori Games,???,???,Ni podatka
20,Morphcat Games UG,???,???,Ni podatka
21,Atari,???,???,Ni podatka
22,FDG Mobile Games GbR,???,???,Ni podatka
23,lowiro,???,???,Ni podatka
24,Paradox Interactive,???,???,Ni podatka
25,Apus Software,???,???,Ni podatka
26,Ubisoft Entertainment,???,???,Ni podatka
27,Microsoft Studios,???,???,Ni podatka
28,Crave Entertainment,???,???,Ni podatka
29,'''Dreamcast''',???,???,Ni podatka
30,Infogrames,???,???,Ni podatka
31,Natsume,???,???,Ni podatka
32,IndieGala,???,???,Ni podatka
33,Psychose Interactive,???,???,Ni podatka
34,Pie Games,???,???,Ni podatka
35,Sony Computer Entertainment,???,???,Ni podatka
36,Nicalis,???,???,Ni podatka
37,Nintendo,???,???,Ni podatka
38,Annapurna Interactive,???,???,Ni podatka
39,Studio Wildcard,???,???,Ni podatka
40,Snail Games USA,???,???,Ni podatka
41,Vertical Robot,???,???,Ni podatka
42,7DOTS,???,???,Ni podatka
43,Phoenix_co,???,???,Ni podatka
44,Takeshi Kiri,???,???,Ni podatka
45,Standard Studio,???,???,Ni podatka
46,Samuels smart edits,???,???,Ni podatka
47,CLICKTEAM L.L.C.,???,???,Ni podatka
48,HUDSON SOFT,???,???,Ni podatka
49,Zai Studio,???,???,Ni podatka
50,mr bonnie,???,???,Ni podatka
51,Technōs Japan,???,???,Ni podatka
52,SCEE,???,???,Ni podatka
53,Azur Interactive Games,???,???,Ni podatka
54,etherane,???,???,Ni podatka
55,Hosted Games,???,???,Ni podatka
56,MythoLogic Interactive,???,???,Ni podatka
57,Nippon Computer Systems,???,???,Ni podatka
58,Treco,???,???,Ni podatka
59,Success,???,???,Ni podatka
60,NewKidCo,???,???,Ni podatka
61,Accolade,???,???,Ni podatka
62,Rainbow Arts,???,???,Ni podatka
63,Illwinter Game Design,???,???,Ni podatka
64,Fractal Softworks,???,???,Ni podatka
65,Koei,???,???,Ni podatka
66,Xicat Interactive,???,???,Ni podatka
67,Gainax,???,???,Ni podatka
68,Inscape,???,???,Ni podatka
69,Turner Broadcasting System,???,???,Ni podatka
70,PlayStation PC,???,???,Ni podatka
71,ZA/UM,???,???,Ni podatka
72,Time Warner Interactive,???,???,Ni podatka
73,Capcom,???,???,Ni podatka
74,Prismatika,???,???,Ni podatka
75,Maxim Karpenko,???,???,Ni podatka
76,Strategy First,???,???,Ni podatka
77,Innersloth,???,???,Ni podatka
78,XSEED Games,???,???,Ni podatka
79,Alawar Entertainment,???,???,Ni podatka
80,JoWooD Productions,???,???,Ni podatka
81,8-4,???,???,Ni podatka
82,Blizzard Entertainment,???,???,Ni podatka
83,Valve,???,???,Ni podatka
84,Rockstar Games,???,???,Ni podatka
85,DraynHDeveloper,???,???,Ni podatka
86,Jaleco Entertainment,???,???,Ni podatka
87,tinyBuild,???,???,Ni podatka
88,Versus Evil,???,???,Ni podatka
89,Square Enix,???,???,Ni podatka
90,RenderPi,???,???,Ni podatka
91,"Jan-Carl Ewald, Vanessa Riess und Kevin Dominic Scherer",???,???,Ni podatka
92,Microsoft Game Studios,???,???,Ni podatka
93,Codebrew Games,???,???,Ni podatka
94,Gears for Breakfast,???,???,Ni podatka
95,supertuxkart,???,???,Ni podatka
96,Activision Blizzard,???,???,Ni podatka
97,Working Designs,???,???,Ni podatka
98,Kadokawa Shoten,???,???,Ni podatka
99,ESP,???,???,Ni podatka
100,Take Two Interactive,???,???,Ni podatka
101,Hasbro Interactive,???,???,Ni podatka
102,VisualArts,???,???,Ni podatka
103,Dustin Auxier,???,???,Ni podatka
104,dustinaux,???,???,Ni podatka
105,IndieArk,???,???,Ni podatka
106,SoulGame Studio,???,???,Ni podatka
107,NLT Media,???,???,Ni podatka
108,Beawesome Games,???,???,Ni podatka
109,Brownmonster,???,???,Ni podatka
110,Sierra Entertainment,???,???,Ni podatka
111,Spicy Pixels,???,???,Ni podatka
112,Gamebasics,???,???,Ni podatka
113,Ruslan Khuduev,???,???,Ni podatka
114,Axysoft,???,???,Ni podatka
115,Vladimir Savin,???,???,Ni podatka
116,Origin Systems,???,???,Ni podatka
117,JAST USA,???,???,Ni podatka
118,Sekai Project,???,???,Ni podatka
119,Sorath,???,???,Ni podatka
120,Modus Games,???,???,Ni podatka
121,The 3DO Company,???,???,Ni podatka
122,Yacht Club Games,???,???,Ni podatka
123,SFB Games,???,???,Ni podatka
124,Jozef Pavelka,???,???,Ni podatka
125,Tutto Passa,???,???,Ni podatka
126,id Software,???,???,Ni podatka
127,2K Games,???,???,Ni podatka
128,StudioMDHR Entertainment,???,???,Ni podatka
129,KEMCO,???,???,Ni podatka
130,Larian Studios,???,???,Ni podatka
131,Aspyr,???,???,Ni podatka
132,PlayStation Publishing,???,???,Ni podatka
133,CellStudios,???,???,Ni podatka
134,Critical Bliss,???,???,Ni podatka
135,DLsite,???,???,Ni podatka
136,Helghast_95,???,???,Ni podatka
137,Studio Ginkgo,???,???,Ni podatka
138,owlyboi,???,???,Ni podatka
139,NIS America,???,???,Ni podatka
140,makostacks Games,???,???,Ni podatka
141,TOCA BOCA,???,???,Ni podatka
142,Jackbox Games,???,???,Ni podatka
143,Akupara Games,???,???,Ni podatka
144,Ripstone,???,???,Ni podatka
145,JahelTheMarioKarter777,???,???,Ni podatka
146,Lunime,???,???,Ni podatka
147,Perverteer Games,???,???,Ni podatka
148,Toffee Cafe,???,???,Ni podatka
